Name,Address,Number of Reviews,Hashtag,Phone,Pricing,Cuisine Type,Open Hours
Bonoo Indian Tapas Hampstead ,"675 Finchley Road, London NW2 2JP England","2,843",#1,+44 20 7794 8899,$$ - $$$,"[' Indian', ' Grill', ' Healthy']",5:30 PM - 10:30 PM
Iznik,"19 Highbury Park, London N5 1QJ England",420,#90,+44 20 7704 8099,$$ - $$$,"[' Mediterranean', ' Turkish', ' Healthy']",10:00 AM - 10:00 PM
The Swan,"7 Cosmo Place, London WC1N 3AP England",892,#86,+44 20 7837 6223,$$ - $$$,"[' Brew Pub', ' Bar', ' British']",11:00 AM - 11:00 PM
Magic Falafel,"Unit 312-313, Camden Market, London NW1 8AH England",289,#91,+44 7482 646499,$,"[' Fast Food', ' Mediterranean', ' Healthy']",10:30 AM - 7:30 PM
Mosaic,"60 Upper Thames Street The Westin London City, London EC4V 3AD England",56,#465,+44 20-3988 014,$$ - $$$,"[' International', ' Pub', ' Healthy']",6:30 AM - 10:00 PM
Lord Clyde Southwark,"London, SE1 1ER 27 Clennam Street, London SE1 1ER England",231,#95,+44 20 7407 5643,$,"[' Quick Bites', ' Bar', ' British']",12:00 PM - 12:00 AM
Moira Restaurant,"2 Mastmaker Road, London E14 9AW England",182,#98,+44 20 7538 9001,$$ - $$$,"[' Mediterranean', ' Turkish', ' Middle Eastern']",12:00 PM - 10:30 PM
La Plata Steakhouse,"109 Sheen Lane East Sheen, Richmond-upon-Thames SW14 8AE England",289,#1,+44 20 8876 7747,$$ - $$$,"[' Steakhouse', ' Latin', ' Argentinean']",12:00 PM - 3:00 PM
Tierra Peru,"164 Essex Road Islington, London N1 8LY England",713,#437,+44 20 7354 5586,$$ - $$$,"[' Peruvian', ' Latin', ' International']",1:00 PM - 10:00 PM
Bill's Westfield,"Southern Terrace Westfield Shopping Centre, London W12 7GB England","1,445",#103,+44 20 8749 5537,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 11:00 PM
La Fortuna Italian Restaurant,"32 Kensington Church Street, London W8 4HA England",216,#101,+44 20 7937 8752,$$ - $$$,"[' Italian', ' Mediterranean', ' European']",5:00 PM - 10:00 PM
Cord by Le Cordon Bleu,"85 Fleet Street, London EC4Y 1AE England",25,"#6,968",12:00 PM - 3:00 PM6:00 PM - 10:00 PM,$$$$,"[' International', ' European']",12:00 PM - 3:00 PM
The Drift,"110 Bishopsgate Salesforce Tower, London EC2N 4AY England","1,206",#105,+44 20 3004 4969,$$ - $$$,"[' Bar', ' International', ' European']",9:00 AM - 12:00 AM
Everest Inn - Blackheath Village,"41 Montpelier Vale Blackheath, Village, London SE3 0TJ England",688,#106,+44 20 8852 7872,$$ - $$$,"[' Indian', ' Asian', ' Nepali']",3:00 PM - 10:30 PM
The India 2 - Best of the City,"20 City Rd, London EC1Y 2AJ England",410,#107,+44 20 7374 4842,$$ - $$$,"[' Indian', ' Asian', ' Balti']",12:00 PM - 3:00 PM
Amici London,London W1F 8ZB England,0,Italian,London W1F 8ZB England,Italian,[' Mediterranean'],5:00 PM - 12:00 AM
Haidilao Huǒguō O2,"Unit 4/5 The Trocadero Centre The 02, London SE10 0DX England",154,#110,+44 20 8092 4366,$$ - $$$,"[' Chinese', ' Asian', ' Healthy']",11:00 AM - 11:00 PM
Bella Italia,"108/110 Queensway, London W2 3RR England","2,654",#112,+44 20 3004 5959,$$ - $$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",9:00 AM - 10:00 PM
Coda Restaurant by Eric Chavot,"Kensington Gore Royal Albert Hall, London SW7 2AP England",799,#114,+ Add hours,$$$$,"[' Vegetarian Friendly', ' Vegan Options']",Open Hours Not Found
BEASY Soho,"58 Greek Street Ground Floor, London W1D 3DY England",6,"#10,037",+44 7930 008464,$$ - $$$,"[' American', ' Bar', ' European']",5:00 PM - 11:30 PM
Gouqi London,"25-34 Cockspur Street, St James's Trafalgar Square, Opposite the Canadian Embassy, London SW1Y 5BN England",317,#109,+44 20 3771 8886,$$$$,"[' Chinese', ' Asian', ' Vegetarian Friendly']",12:00 PM - 2:30 PM
Rendez Vous Caffe,"94 High Street, Beckenham BR3 1ED England",334,#1,+44 20 8249 7949,$$ - $$$,"[' Cafe', ' International', ' British']",7:00 AM - 5:00 PM
Cafe de Provence,"14 Drury Lane Covent Garden, London WC2B 5RB England",476,#115,+44 20 7497 2757,$,"[' Cafe', ' European', ' British']",8:00 AM - 4:00 PM
Chez Abir Restaurant,"34 Blythe Road, London W14 0HA England",246,#116,+44 20 7603 3241,$$ - $$$,"[' Lebanese', ' Mediterranean', ' Middle Eastern']",12:00 PM - 3:00 PM
Cafe Amisha,"Amisha Court 161 Grange Road Southwark, London SE1 3GH England",464,#117,+44 20 7231 7151,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 10:30 PM
The London Cabaret Club,"Bloomsbury Square Victoria House 5, London WC1B 4DA England",331,"#1,877",+44 20 7242 0002,$$ - $$$,"[' International', ' British', ' Grill']",9:00 AM - 6:00 PM
Monkey Temple,"92 Askew Road, London W12 9BL England",333,#119,+44 20 8743 4597,$$ - $$$,"[' Indian', ' Asian', ' Nepali']",4:30 PM - 10:30 PM
Franco Manca Waterloo,"77-81 The Cut Waterloo, London SE1 8LL England",164,#139,+44 20 3026 6695,$$ - $$$,"[' Italian', ' Pizza', ' Neapolitan']",12:00 PM - 10:30 PM
Paladar,"4-5 London Road, London SE1 6JZ England","1,168",#121,+44 20 7186 5555,$$ - $$$,"[' Latin', ' Contemporary', ' Fusion']",12:00 PM - 2:45 PM
Flour To The People Pizza!,"573 Battersea Park Road, London SW11 3BJ England",323,#122,+44 20 7228 5672,$$ - $$$,"[' Pizza', ' Vegan Options', ' Gluten Free Options']",5:00 PM - 10:30 PM
Taste Of Peshawar,"62 Harrow Road, Wembley HA9 6PL England",239,#1,+44 20 3015 4133,$$ - $$$,"[' Grill', ' Pakistani', ' Afghan']",12:00 PM - 11:00 PM
Charlie's Cafe & Bakery,"169 High Road The Mall Wood Green, Wood Green, Haringey N22 6YA England",214,#1,+44 20 8881 9766,$,"[' Cafe', ' Mediterranean', ' British']",9:00 AM - 6:00 PM
Taste of Kerala,"305 London Road, Croydon CR0 3PA England",304,#3,+442086834477,$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 10:30 PM
Bill's Richmond,"1-3 Hill Rise, Richmond-upon-Thames TW10 6UQ England","1,361",#2,020 4512 6649,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 11:00 PM
Yak & Yeti - Finsbury Park,"143 Stroud Green Road Finsbury Park, London N4 3PZ England",290,"#2,044",+44 20 7263 2112,$$ - $$$,"[' Indian', ' Asian', ' Tibetan']",3:30 PM - 11:00 PM
Cafe Van Gogh,"88 Brixton Road Christ church, London SW9 6BE England",228,#125,+44 20 3903 9232,$$ - $$$,"[' Cafe', ' European', ' British']",9:00 AM - 4:00 PM
Artist Residence,"52 Cambridge Street, London SW1V 4QQ England","1,148",#120,+44 20 3019 8610,$$ - $$$,"[' European', ' British', ' Healthy']",7:30 AM - 11:00 PM
Elvet Steakhouse,"392 Romford Road Forest Gate, London E7 8DF England",811,#126,+44 20 3601 9692,$$$$,"[' Steakhouse', ' Grill', ' Halal']",6:00 PM - 11:00 PM
MAP Maison,"321 Kingsland Road, London E8 4DL England",232,#131,+44 20 7241 1441,$$ - $$$,"[' International', ' Vegan Options', ' Gluten Free Options']",3:00 PM - 1:00 AM
Oliveira Kitchen Shoreditch,"80 Paul Street, London EC2A 4NE England",257,#133,+44 20 7729 0481,$$ - $$$,"[' European', ' Healthy', ' Vegetarian Friendly']",5:00 PM - 11:00 PM
E Pellicci,"332 Bethnal Green Rd., London E2 0AG England","1,074",#129,+44 20 7739 4873,$,"[' Italian', ' Pizza', ' Cafe']",8:00 AM - 3:30 PM
Fiore Dell Amore,"192A Brick Lane, London E1 6SA England",33,"#6,858",+44 20 3827 9445,$$ - $$$,"[' Italian', ' Pizza', ' Cafe']",10:00 AM - 10:00 PM
Sumosan Twiga,"165 Sloane Street, London SW1X 9QB England","1,216",#138,+44 20 3096 0222,$$$$,"[' Italian', ' Japanese', ' Vegetarian Friendly']",6:30 PM - 2:00 AM
SOUND Cafe,London W1H 7DL England,"1,715",#137,+44 20 7479 5078,$$ - $$$,"[' American', ' Vegetarian Friendly', ' Vegan Options']",11:00 AM - 11:00 PM
Hithe + Seek,"60 Upper Thames St The Westin London City, Third Floor, London EC4V 3AD England",48,"#1,775",+44 20 3988 0141,$$ - $$$,"[' Bar', ' International', ' Dining bars']",4:00 PM - 12:00 AM
The London Cabaret Club,"Bloomsbury Square Victoria House 5, London WC1B 4DA England",331,"#1,877",+44 20 7242 0002,$$ - $$$,"[' International', ' British', ' Grill']",9:00 AM - 6:00 PM
Baluchi,"181 Tooley Street The Lalit, London SE1 2JR England",403,#123,+44 20 3765 0197,$$$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",6:30 AM - 10:00 AM
Gillray's Steakhouse & Bar,"Westminster Bridge Road, London SE1 7PB England","2,432",#141,+44 20 7902 8000,$$$$,"[' Steakhouse', ' European', ' British']",6:30 AM - 11:00 AM
144 On The Hill Restaurant and Bar,"144-150 Richmond Hill Richmond Hill Hotel, Richmond-upon-Thames TW10 6RW England",420,#3,+44 20 8940 2247,$$ - $$$,"[' European', ' British', ' Vegetarian Friendly']",8:00 AM - 10:00 PM
Paladar,"4-5 London Road, London SE1 6JZ England","1,168",#121,+44 20 7186 5555,$$ - $$$,"[' Latin', ' Contemporary', ' Fusion']",12:00 PM - 2:45 PM
The Prince of Greenwich Pub,"72 Royal Hill, London SE10 8RT England",604,#145,+44 7940 596381,$$ - $$$,"[' Italian', ' Bar', ' Pizza']",4:00 PM - 11:00 PM
German Doner Kebab,"Holloway Road Unit 2, Naggs Head Shopping Centre, London N7 6PZ England",108,#148,+44 20 3989 6461,$,"[' German', ' Fast Food', ' European']",10:00 AM - 12:00 AM
Hot Stone Fitzrovia,"3 Windmill Street, London W1T 2HY England",15,"#8,804",+44 20 7419 0305,Japanese,"[' Steakhouse', ' Sushi', ' Asian']",5:00 PM - 9:30 PM
The Banc,"261-263 West Green Road, London N15 3BH England","2,198",#143,+44 20 8888 8898,$$ - $$$,"[' Steakhouse', ' Mediterranean', ' Grill']",5:00 PM - 11:00 PM
Heliot Steak House,"Cranbourn Street Leicester Square, London WC2H 7JH England","2,156",#140,+44 20 7769 8844,$$ - $$$,"[' American', ' Steakhouse', ' British']",5:00 PM - 10:00 PM
My Tortellini,"187 Finchley Rd, London NW3 6LB England","1,003",#151,+44 7539 754717,$,"[' Italian', ' Emilian', ' Romagna']",11:00 AM - 9:00 PM
Makars Gourmet Mash Bar (London),"190 Shaftesbury Avenue, London WC2H 8JL England",157,#150,+44 131 226 1178,$$ - $$$,"[' British', ' Scottish', ' Vegetarian Friendly']",5:00 PM - 8:30 PM
Flat Iron Waterloo,"41-45 The Cut, London SE1 8LF England",149,#152,+ Add phone number,$$ - $$$,"[' Steakhouse', ' British', ' Gluten Free Options']",12:00 PM - 10:30 PM
Cinquecento Soho,"6 Greek Street, London W1D 4DE England",26,"#3,844",+44 20 7287 7705,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 10:30 PM
Yucca,"496 Fulham Road Fulham, London SW6 5NH England",403,#153,+44 20 3080 0881,$$ - $$$,"[' Mexican', ' Latin', ' Vegetarian Friendly']",12:00 PM - 11:00 PM
The Chelsea Corner,"451 Fulham Road, London SW10 9UZ England",297,#154,+44 20 3055 0088,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",5:00 PM - 10:00 PM
IL Pampero,"20 Chesham Place Belgravia, London SW1X 8HQ England",219,#149,+44 20 3189 4850,$$$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",7:00 AM - 11:00 AM
The Ledbury,"127 Ledbury Road Notting Hill, London W11 2AQ England","3,047",#168,+44 20 7792 9090,$$$$,"[' European', ' British', ' Vegetarian Friendly']",6:00 PM - 9:15 PM
Altonapoli Italian Restaurant Paddington,"11 Craven Rd, Paddington, London W2 3BP England",161,#172,"11 Craven Rd, Paddington, London W2 3BP England",$$ - $$$,[' Italian'],8:00 AM - 11:00 PM
Yaatra Restaurant And Bar,"4 Greycoat Place Old Westminster Fire Station, London SW1P 1SB England",127,#157,+44 20 4549 1906,$$$$,"[' Indian', ' Asian', ' Contemporary']",12:00 PM - 2:30 PM
Rock Star Sushi Bar,"Merton Abbey Mills - Watermill Way Unit 5, The Long Shop, London SW19 2RD England",609,#158,+447473100000,$$ - $$$,"[' Sushi', ' Vegetarian Friendly', ' Vegan Options']",5:00 PM - 11:00 PM
taNgia,"108 Mitcham Road Tooting Broadway, London SW17 9NG England",671,#159,+44 20 3774 0779,$$ - $$$,"[' Mediterranean', ' Vegetarian Friendly', ' Vegan Options']",6:00 PM - 11:00 PM
The Navigation Harvester,"4 Wharf Road Ponders End, Enfield EN3 4XX England",761,#1,+44 20 8804 7788,$$ - $$$,"[' Bar', ' Fast Food', ' Asian']",11:30 AM - 10:00 PM
