URL,Name,Address,Number of Reviews,Hashtag,Phone,Pricing,Cuisine Type,Open Hours
https://www.tripadvisor.com//Restaurant_Review-g186338-d3386306-Reviews-Wahaca_Southbank-London_England.html,Wahaca Southbank,"Belvedere Road Queen Elizabeth Hall, Belvedere Rd, London SE1 8XX England","1,749","#1,028",+44 20 3951 9746,$$ - $$$,"[' Mexican', ' Street Food', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d2178357-Reviews-Rocca_di_Papa-London_England.html,,There is no content for  yet.,0,"#1,029",Phone Not Found,Pricing Not Found,Cuisine Type Not Found,Open Hours Not Found
https://www.tripadvisor.com//Restaurant_Review-g186338-d1163581-Reviews-Marquis_of_Westminster-London_England.html,Marquis of Westminster,"50 Warwick Way Victoria, London SW1V 1RY England","1,063","#1,030",+44 20 7592 0249,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d25065460-Reviews-Mielo_Restaurant-London_England.html,Mielo Restaurant,"35 Paddington Street, London W1U 4HQ England",49,"#1,677",+44 7542 031110,$$ - $$$,"[' Italian', ' French', ' Mediterranean']",10:00 AM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g2137059-d10266142-Reviews-Chupitos_Tapas_Bar_and_Restaurant-Welling_Greater_London_England.html,Chupitos Tapas Bar and Restaurant,"28 Upper Wickham Lane, Welling DA16 3HF England",336,#3,+44 20 3638 3098,$$ - $$$,"[' Mediterranean', ' European', ' Spanish']",12:00 PM - 9:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d13174553-Reviews-Heroica_Lounge-London_England.html,Heroica Lounge,"Western Gateway Royal Victoria Dock, London E16 1FA England",194,"#1,110",+44 7846 654069,$$ - $$$,"[' Italian', ' Pizza', ' European']",12:00 PM - 9:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d733238-Reviews-Champor_Champor-London_England.html,Champor-Champor,"62-64 Weston Street, London SE1 3QJ England",684,"#1,032",+44 20 7403 4600,$$ - $$$,"[' Asian', ' Thai', ' Malaysian']",6:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d2239923-Reviews-The_Rising_Sun-London_England.html,The Rising Sun,"137 Marsh Lane, London NW7 4EY England",398,"#1,035",+44 20 8959 1357,$$ - $$$,"[' Italian', ' Fusion', ' Vegetarian Friendly']",12:00 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d2484466-Reviews-Forty_Dean_Street-London_England.html,Forty Dean Street,"40 Dean Street, London W1D 4PX England",688,"#1,488",+44 20 7734 1853,$$ - $$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d2012290-Reviews-Bella_Italia_Strand-London_England.html,Bella Italia Strand,"65 Strand, London WC2N 5LR England","1,441","#1,027",+44 20 7839 3705,$$ - $$$,"[' Italian', ' Pizza', ' Sicilian']",11:00 AM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d17172123-Reviews-Village_Indiya-London_England.html,Village Indiya,"241-243 High Road South Woodford, London E18 2PB England",145,"#1,036",+44 20 8505 2727,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",5:30 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d5122093-Reviews-Ye_Olde_Mitre-London_England.html,Ye Olde Mitre,"Ely Place 1 Ely Court, London EC1N 6SJ England",172,"#1,037",+44 20 7405 4751,$,"[' Bar', ' British', ' Pub']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d10383727-Reviews-Market_Brasserie-London_England.html,Market Brasserie,"The 02 1 Waterview Drive 1st Floor, London SE10 0TW England",181,"#1,038",+44 20 8463 6912,$$ - $$$,"[' European', ' British', ' Vegetarian Friendly']",7:30 AM - 10:30 AM
https://www.tripadvisor.com//Restaurant_Review-g186338-d12706180-Reviews-Claude_Bosi-London_England.html,Claude Bosi,"Michelin House 81 Fulham Road Michelin House, London SW3 6RD England",410,"#1,040",+44 20 7581 5817,$$$$,"[' French', ' European', ' Vegetarian Friendly']",12:00 PM - 1:45 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d7261794-Reviews-Sheila_s_Cafe-London_England.html,Sheila's Cafe,"24A Craven Terrace Lancester Mews, London W2 3QH England",387,#418,+44 20 7402 8065,$,"[' Cafe', ' British', ' Vegetarian Friendly']",7:00 AM - 4:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d777620-Reviews-Salaam_Namaste-London_England.html,Salaam Namaste,"68 Millman Street Off Guilford Street, London WC1N 3EF England",505,"#1,625",+44 20 7405 3697,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",5:30 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d11916265-Reviews-Tandoor_Chophouse-London_England.html,Tandoor Chophouse,"8 Adelaide Street, London WC2N 4HZ England",728,"#1,039",+44 20 3096 0359,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d6578764-Reviews-Cafe_Tiffin-London_England.html,Cafe Tiffin,"69 Compton Street, London EC1V 0BN England",165,"#1,042",+44 20 7490 2883,$,"[' Indian', ' Asian', ' Balti']",12:00 PM - 2:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d731410-Reviews-Ottolenghi_Islington-London_England.html,Ottolenghi Islington,"287 Upper Street, London N1 2TZ England","1,423","#1,057",+44 20 7288 1454,$$ - $$$,"[' Mediterranean', ' European', ' Healthy']",8:00 AM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d6893611-Reviews-Yak_Yeti_Finsbury_Park-London_England.html,Yak & Yeti - Finsbury Park,"143 Stroud Green Road Finsbury Park, London N4 3PZ England",290,"#2,044",+44 20 7263 2112,$$ - $$$,"[' Indian', ' Asian', ' Tibetan']",12:00 PM - 11:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1066764-Reviews-Doggett_s_Coat_and_Badge-London_England.html,Doggett's Coat and Badge,"Blackfriars Bridge 1, London SE1 9UD England","1,086","#1,034",+44 20 7633 9081,$$ - $$$,"[' Bar', ' British', ' Pub']",10:00 AM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d4929050-Reviews-Est_India-London_England.html,Est. India,"73-75 Union Street Flat Iron Square, London SE1 1SG England",510,"#1,049",+44 20 7407 2004,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1233703-Reviews-Bocca_di_Lupo-London_England.html,Bocca di Lupo,"12 Archer Street, London W1D 7BB England","2,493","#1,043",+44 20 7734 2223,$$ - $$$,"[' Italian', ' Mediterranean', ' European']",12:15 PM - 3:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d12947166-Reviews-Tonis_Amalfi-London_England.html,Tonis Amalfi,"123 Queenstown Road, London SW8 3RH England",240,#147,+44 20 3583 4830,$$ - $$$,"[' Italian', ' Pizza', ' Seafood']",12:00 PM - 3:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d7933401-Reviews-Ottolenghi_Spitalfields-London_England.html,Ottolenghi Spitalfields,"50 Artillery Lane, London E1 7LS England","1,283","#1,051",+44 20 7247 1999,$$ - $$$,"[' Mediterranean', ' European', ' Healthy']",9:00 AM - 11:45 AM
https://www.tripadvisor.com//Restaurant_Review-g186338-d700845-Reviews-Rules_Restaurant-London_England.html,Rules Restaurant,"35 Maiden Lane, London WC2E 7LB England","5,009","#1,046", See all hours,$$$$,"[' European', ' British']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d3421289-Reviews-Duck_Waffle-London_England.html,Duck & Waffle,"110 Bishopsgate 40th Floor, Heron Tower, London EC2N 4AY England","7,196","#1,055",+44 20 3640 7310,$$$$,"[' European', ' British', ' Vegetarian Friendly']",12:00 AM - 11:59 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d5122014-Reviews-GONG_Bar-London_England.html,GŎNG Bar,"Level 52 31 St. Thomas Street Shangri-La The Shard, London SE1 9QU England","1,891","#1,052",+44 20 7234 8208,$$$$,"[' Fusion', ' Dining bars', ' Japanese Fusion']",12:00 PM - 1:00 AM
https://www.tripadvisor.com//Restaurant_Review-g186338-d8769360-Reviews-Mr_Fogg_s_Tavern-London_England.html,Mr Fogg's Tavern,"58 St. Martin's Lane, London WC2N 4EA England",728,"#1,053",+44 20 7581 3992,$$ - $$$,"[' Bar', ' British', ' Pub']",12:01 PM - 11:01 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d14200506-Reviews-ROVI-London_England.html,ROVI,"59 Wells Street, London W1A 3AE England",555,"#1,054",+44 20 3963 8270,$$ - $$$,"[' International', ' Mediterranean', ' Contemporary']",12:00 PM - 3:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d14159013-Reviews-The_King_s_Arms-London_England.html,The King's Arms,"94-96 Wandsworth High Street, London SW18 4LB England",240,#34,+44 20 3437 0006,$$ - $$$,"[' Bar', ' British', ' Pub']",9:00 AM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d25587722-Reviews-Blacklock_Canary_Wharf-London_England.html,Blacklock Canary Wharf,"5 Frobisher Psge, London E14 4EE England",81,"#1,017", See all hours,$$ - $$$,"[' Steakhouse', ' British']",11:30 AM - 7:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d25065460-Reviews-Mielo_Restaurant-London_England.html,Mielo Restaurant,"35 Paddington Street, London W1U 4HQ England",49,"#1,677",+44 7542 031110,$$ - $$$,"[' Italian', ' French', ' Mediterranean']",10:00 AM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1018502-Reviews-The_Table-London_England.html,The Table,"83 Southwark Street, London SE1 0HX England",832,"#1,063",+44 20 7401 2760,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 4:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1806131-Reviews-The_Old_Brewery-London_England.html,The Old Brewery,"The Pepys Building The Old Royal Naval College, London SE10 9LW England","1,114","#1,065",+44 20 3437 2222,$$ - $$$,"[' Bar', ' British', ' Pub']",10:00 AM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d5993407-Reviews-Cafe_Beam-London_England.html,Cafe Beam,"39-41 Topsfield Parade Crouch End, London N8 8PT England",231,"#1,068",+44 208 348 3748,$$ - $$$,"[' Cafe', ' Mediterranean', ' European']",8:00 AM - 6:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1991481-Reviews-Hawksmoor_Seven_Dials-London_England.html,Hawksmoor Seven Dials,"11 Langley Street, London WC2H 9JG England","4,686","#1,064",+44 20 7420 9390,$$$$,"[' Steakhouse', ' Seafood', ' British']",12:00 PM - 9:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d9561439-Reviews-Noble_Rot-London_England.html,Noble Rot,"51 Lamb’s Conduit Street, London WC1N 3NB England",408,"#1,069", See all hours,$$ - $$$,"[' Pub', ' Vegetarian Friendly']",12:00 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d753843-Reviews-Angus_Steakhouse_Piccadilly_Circus-London_England.html,Angus Steakhouse Piccadilly Circus,"21 Coventry Street Piccadilly Circus, London W1D 7AE England","5,734","#1,072",8:30 AM - 12:00 AM,$$ - $$$,"[' Steakhouse', ' British']",8:30 AM - 12:00 AM
https://www.tripadvisor.com//Restaurant_Review-g186338-d6694344-Reviews-Burger_Lobster_Oxford_Circus-London_England.html,Burger & Lobster Oxford Circus,"6 Little Portland Street Fitzrovia, London W1W 7JE England","1,093","#1,070", See all hours,$$ - $$$,"[' American', ' Seafood']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1051706-Reviews-Franco_Manca_Brixton-London_England.html,Franco Manca Brixton,"20 Atlantic Rd, London SW9 8JA England",947,"#1,071",+44 20 7738 3021,$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d13173527-Reviews-Chimichurris-London_England.html,Chimichurris,"132 Southwark Bridge Road, London SE1 0DG England",176,#176,+44 20 7928 7414,$$ - $$$,"[' Steakhouse', ' Barbecue', ' Grill']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d2012288-Reviews-Prezzo_Italian_Restaurant_London_St_Martins_Lane-London_England.html,Prezzo Italian Restaurant London St Martins Lane,"116 St. Martin's Lane, London WC2N 4BD England","1,411","#1,066",+44 20 8187 1642,$$ - $$$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",11:30 AM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1405305-Reviews-Bulls_Head-London_England.html,Bulls Head,"15 Strand on the Green Kew, London W4 3PQ England",751,"#1,074",+44 20 8994 1204,$$ - $$$,"[' Bar', ' British', ' Pub']",10:00 AM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d16882554-Reviews-Blueberry_s_Jerome_s_Kitchen-London_England.html,Blueberry's - Jerome´s Kitchen,"121 Lee Rd, London SE3 9DS England",93,"#1,076",+44 20 8463 0011,$$ - $$$,"[' French', ' Cafe', ' British']",9:00 AM - 3:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d7222459-Reviews-Rabbit-London_England.html,Rabbit,"172 Kings Road, London SW3 4UP England",717,"#1,088",+44 20 3750 0172,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 8:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d680320-Reviews-Il_Vicolo-London_England.html,Il Vicolo,"3-4 Crown Passage Pall Mall, London SW1Y 6PP England",285,"#1,050",+44 20 7839 3960,$$ - $$$,"[' Italian', ' Mediterranean', ' European']",12:00 PM - 2:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d12947166-Reviews-Tonis_Amalfi-London_England.html,Tonis Amalfi,"123 Queenstown Road, London SW8 3RH England",240,#147,+44 20 3583 4830,$$ - $$$,"[' Italian', ' Pizza', ' Seafood']",12:00 PM - 3:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d4295510-Reviews-Wildwood_Kitchen-London_England.html,Wildwood Kitchen,"184 Shaftesbury Avenue, London WC2H 8JB England",590,"#1,077",+44 20 7379 0198,$$ - $$$,"[' Italian', ' Pizza', ' European']",12:00 PM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d13085666-Reviews-Park_s_Edge_Bar_and_Kitchen-London_England.html,Park's Edge Bar and Kitchen,"49-51 Norwood Road Herne Hill, London SE24 9AA England",162,"#1,061",+44 20 8671 0306,$$ - $$$,"[' British', ' Contemporary', ' Fusion']",10:00 AM - 4:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d6473780-Reviews-Primavera-London_England.html,Primavera,"106 New Kings Road, London SW6 4LY England",208,"#1,079",+44 20 7731 0156,$$ - $$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g191301-d1571801-Reviews-Bacco-Richmond_upon_Thames_Greater_London_England.html,Bacco,"39-41 Kew Road, Richmond-upon-Thames TW9 2NQ England",457,#18,+44 20 8332 0348,$$ - $$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",11:45 AM - 3:30 AM
https://www.tripadvisor.com//Restaurant_Review-g186338-d21305371-Reviews-Fiore_Dell_Amore-London_England.html,Fiore Dell Amore,"192A Brick Lane, London E1 6SA England",33,"#6,858",+44 20 3827 9445,$$ - $$$,"[' Italian', ' Pizza', ' Cafe']",10:00 AM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d23678256-Reviews-Grilandia_Chiswick-London_England.html,Grilandia Chiswick,"4 Turnham Green Terrace, London W4 1QP England",49,"#1,083",+44 20 8994 3353,$$ - $$$,"[' Lebanese', ' Mediterranean', ' Healthy']",Open Hours Not Found
https://www.tripadvisor.com//Restaurant_Review-g186338-d2051778-Reviews-Galvin_Bistrot_Bar-London_England.html,Galvin Bistrot & Bar,"35 Spital Square, London E1 6DY England",611,"#1,078",+44 20 7299 0404,$$ - $$$,"[' Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']",12:00 PM - 3:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d2625372-Reviews-Sticks_n_Sushi_Wimbledon-London_England.html,Sticks'n'Sushi Wimbledon,"58 Wimbledon Hill Road, London SW19 7PA England",747,"#1,081",+44 20 3141 8800,$$ - $$$,"[' Japanese', ' Sushi', ' Asian']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d20137582-Reviews-Mucci_s-London_England.html,Mucci’s,"442 Kings Road, London SW10 0LQ England",281,"#1,084",+44 20 3848 8699,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 11:45 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d737168-Reviews-Masala_Zone_Covent_Garden-London_England.html,Masala Zone Covent Garden,"48 Floral Street Covent Garden, London WC2E 9DA England","3,269","#1,078",+44 20 7379 0101,$$ - $$$,"[' Indian', ' Healthy', ' Vegetarian Friendly']",12:30 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d23768741-Reviews-Ceru_Queensway-London_England.html,Ceru Queensway,"11 Queensway, London W2 4QJ England",63,"#1,087",+44 20 3195 3002,$$ - $$$,"[' Mediterranean', ' Fusion', ' Healthy']",11:00 AM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d810024-Reviews-Gaucho-London_England.html,Gaucho,"89 Sloane Avenue, London SW3 3DX England",827,"#1,086",+44 20 7584 9901,$$$$,"[' Steakhouse', ' Latin', ' Argentinean']",12:00 PM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1420163-Reviews-The_Rubens_at_the_Palace-London_England.html,The Rubens at the Palace,"39 Buckingham Palace Road, London SW1W 0PS England",721,"#1,088",+44 20 7834 6600,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 6:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d13602702-Reviews-Hot_Stone-London_England.html,Hot Stone,"9 Chapel Market Angel Islington, London N1 9EZ England",938,#755,+44 20 3302 8226,$$ - $$$,"[' Japanese', ' Sushi', ' Asian']",12:00 PM - 2:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d2407486-Reviews-The_Royal_Standard-London_England.html,The Royal Standard,"44 Vanbrugh Park Blackheath, London SE3 7JQ England",262,"#1,089", See all hours,$$ - $$$,"[' Brew Pub', ' British']",12:00 PM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d6367142-Reviews-Mirror_Room-London_England.html,Mirror Room,"Rosewood, London WC1V 7EN England",333,"#1,090",+44 20 3747 8670,$$$$,"[' European', ' British', ' Vegetarian Friendly']",7:00 AM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d3370269-Reviews-Lima-London_England.html,Lima,"31 Rathbone Place Fitzrovia, London W1T 1JH England","1,281","#1,092",+44 20 3002 2640,$$$$,"[' Peruvian', ' Latin', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d4838932-Reviews-Cafe_Paolo-London_England.html,Cafe Paolo,"1 East Vale, The Vale, London W3 7RU England",93,"#1,095",+44 20 8740 0591,$,"[' Cafe', ' British', ' Healthy']",5:30 AM - 3:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d10460592-Reviews-Bonoo_Indian_Tapas_Hampstead-London_England.html,Bonoo Indian Tapas Hampstead ,"675 Finchley Road, London NW2 2JP England","2,845",#1,+44 20 7794 8899,$$ - $$$,"[' Indian', ' Grill', ' Healthy']",5:30 PM - 10:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d14887461-Reviews-50_Kalo_di_Ciro_Salvo-London_England.html,50 Kalò di Ciro Salvo,"7 Northumberland Avenue, London WC2N 5BY England",739,"#1,094",+44 20 7930 9955,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1499193-Reviews-The_Prince_Edward-London_England.html,The Prince Edward,"73 Princes Square, London W2 4NY England","1,106","#1,093",+44 20 7243 2795,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 8:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d25170814-Reviews-Paradise_Green-London_England.html,Paradise Green,"100 Bishopsgate, London EC2M 1GT England",111,"#1,098",+ Add hours,$$ - $$$,"[' Australian', ' Vegetarian Friendly']",Open Hours Not Found
https://www.tripadvisor.com//Restaurant_Review-g186338-d6845113-Reviews-Arabica_Borough_Market-London_England.html,Arabica Borough Market,"3 Rochester Walk Borough Market, London SE1 9AF England",997,"#1,097",+44 20 3011 5151,$$ - $$$,"[' Lebanese', ' Mediterranean', ' Healthy']",12:00 PM - 10:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d23755559-Reviews-The_Avocado_Show_London_Mayfair-London_England.html,The Avocado Show London Mayfair,"6 Princes Street, London W1B 2LG England",89,"#3,543",+44 7594 561103,$$ - $$$,"[' International', ' European', ' Contemporary']",9:00 AM - 8:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d2089099-Reviews-Jamon_Jamon_Soho-London_England.html,Jamon Jamon Soho,"3 Caxton Walk, London WC2H 8PW England","1,729",#775,+44 20 7836 6969,$$ - $$$,"[' International', ' Mediterranean', ' European']",12:00 PM - 11:30 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d982674-Reviews-Vivat_Bacchus-London_England.html,Vivat Bacchus,"47 Farringdon Street Farringdon, London EC4A 4LL England",313,"#1,102",+44 20 7353 2648,$$ - $$$,"[' African', ' Wine Bar', ' Vegetarian Friendly']",Open Hours Not Found
https://www.tripadvisor.com//Restaurant_Review-g186338-d2190496-Reviews-The_Gipsy_Moth-London_England.html,The Gipsy Moth,"60 Greenwich Church Street, London SE10 9BL England","1,089","#1,101",+44 20 8858 0786,$$ - $$$,"[' Bar', ' International', ' British']",12:00 PM - 11:00 PM
https://www.tripadvisor.com//Restaurant_Review-g186338-d1019294-Reviews-North_Pole_Restaurant-London_England.html,North Pole Restaurant,"131 Greenwich High Road, London SE10 8JA England",544,"#1,103",+44 20 8079 7465,$$ - $$$,"[' Bar', ' Grill', ' Vegetarian Friendly']",12:00 PM - 12:00 AM
https://www.tripadvisor.com//Restaurant_Review-g186338-d734192-Reviews-Olivelli_Waterloo-London_England.html,Olivelli - Waterloo,"61 The Cut, London SE1 8LL England",846,"#1,104",+44 20 7261 1221,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 10:00 PM
